textbox6,textbox14,textbox26,textbox27,textbox5,textbox15,textbox20,textbox16,textbox19,textbox17
Account No,0206-01-012648-30-3 ,Account Name,INDOMARCO PRISMATAMA,Account Status,Active,Today Hold Balance,0.00,Period,11/08/2026 - 11/08/2026

textbox45,textbox29,textbox46,textbox37,textbox30,textbox28,TRDAT6,TIMENT,TRREMK,DBAMT,CRAMT,LGRBAL,textbox31
DATE,TIME,REMARK,DEBET,CREDIT,TELLER ID,11/08/26,19:03:31,CMSPOOL020601012648303TO135901000001305 T:0374052:CMS,"17,509,000.00",0.00,0.00,0374891   
DATE,TIME,REMARK,DEBET,CREDIT,TELLER ID,11/08/26,19:03:31,Fee Pooling CMS 2733 T:0374052:CMS,"5,000.00",0.00,"17,509,000.00",0415891   
DATE,TIME,REMARK,DEBET,CREDIT,TELLER ID,11/08/26,13:05:03,SALES 10 AGT 2026 FV 81 ; SALES 10 AGT 2026 FV 81 ESB:INDS:0002800D:6ef841362206,0.00,"17,514,000.00","17,514,000.00",3031051   

textbox55,textbox56,textbox57,textbox58,textbox35,textbox7,textbox38,textbox39
OPENING BALANCE,TOTAL DEBET,TOTAL CREDIT,CLOSING BALANCE,0.00,"17,514,000.00","17,514,000.00",0.00

